scenario,model,metric,value
limited_resources,threshold,avg_migrations,0.02
limited_resources,threshold,total_migrations,20
limited_resources,threshold,avg_latency,12.015188799102466
limited_resources,threshold,avg_jitter,0.3025565267863307
limited_resources,threshold,avg_cpu,0.6931849847538928
limited_resources,threshold,avg_ram,0.7058519676216668
limited_resources,threshold,max_latency,15.629029637359647
limited_resources,threshold,max_jitter,0.7485836297378642
limited_resources,qlearning,avg_migrations,0.028
limited_resources,qlearning,total_migrations,28
limited_resources,qlearning,avg_latency,11.91656317828638
limited_resources,qlearning,avg_jitter,0.30041666129031014
limited_resources,qlearning,avg_cpu,0.6931849847538928
limited_resources,qlearning,avg_ram,0.7058519676216668
limited_resources,qlearning,max_latency,15.251568679163347
limited_resources,qlearning,max_jitter,0.5779493633525927
limited_resources,hybrid,avg_migrations,0.026
limited_resources,hybrid,total_migrations,26
limited_resources,hybrid,avg_latency,12.02815413531297
limited_resources,hybrid,avg_jitter,0.30341394321829684
limited_resources,hybrid,avg_cpu,0.6931849847538928
limited_resources,hybrid,avg_ram,0.7058519676216668
limited_resources,hybrid,max_latency,15.251568679163347
limited_resources,hybrid,max_jitter,0.6773348056193169
limited_resources,threshold,avg_migrations,0.019
limited_resources,threshold,total_migrations,19
limited_resources,threshold,avg_latency,12.446589434544986
limited_resources,threshold,avg_jitter,0.3260725496885006
limited_resources,threshold,avg_cpu,0.693118845933265
limited_resources,threshold,avg_ram,0.705975893017235
limited_resources,threshold,max_latency,15.57558254221583
limited_resources,threshold,max_jitter,0.9573728324138213
limited_resources,qlearning,avg_migrations,0.033
limited_resources,qlearning,total_migrations,33
limited_resources,qlearning,avg_latency,12.243789968649528
limited_resources,qlearning,avg_jitter,0.3218736171367785
limited_resources,qlearning,avg_cpu,0.693118845933265
limited_resources,qlearning,avg_ram,0.705975893017235
limited_resources,qlearning,max_latency,15.57558254221583
limited_resources,qlearning,max_jitter,1.1943885158284309
limited_resources,hybrid,avg_migrations,0.023
limited_resources,hybrid,total_migrations,23
limited_resources,hybrid,avg_latency,11.981355013839352
limited_resources,hybrid,avg_jitter,0.3134771436548178
limited_resources,hybrid,avg_cpu,0.693118845933265
limited_resources,hybrid,avg_ram,0.705975893017235
limited_resources,hybrid,max_latency,15.57558254221583
limited_resources,hybrid,max_jitter,1.001258833968182
limited_resources,threshold,avg_migrations,0.017
limited_resources,threshold,total_migrations,17
limited_resources,threshold,avg_latency,11.946854073615219
limited_resources,threshold,avg_jitter,0.31248710971945104
limited_resources,threshold,avg_cpu,0.6924215075831799
limited_resources,threshold,avg_ram,0.705576044827243
limited_resources,threshold,max_latency,15.712179798008261
limited_resources,threshold,max_jitter,0.8556751620675765
limited_resources,qlearning,avg_migrations,0.035
limited_resources,qlearning,total_migrations,35
limited_resources,qlearning,avg_latency,12.41730095271414
limited_resources,qlearning,avg_jitter,0.33025301224578096
limited_resources,qlearning,avg_cpu,0.6924215075831799
limited_resources,qlearning,avg_ram,0.705576044827243
limited_resources,qlearning,max_latency,16.010258090391016
limited_resources,qlearning,max_jitter,1.3422203186115844
limited_resources,hybrid,avg_migrations,0.03
limited_resources,hybrid,total_migrations,30
limited_resources,hybrid,avg_latency,12.086261117111484
limited_resources,hybrid,avg_jitter,0.3152648105207998
limited_resources,hybrid,avg_cpu,0.6924215075831799
limited_resources,hybrid,avg_ram,0.705576044827243
limited_resources,hybrid,max_latency,15.712179798008261
limited_resources,hybrid,max_jitter,0.8484909604986103
limited_resources,threshold,avg_migrations,0.017
limited_resources,threshold,total_migrations,17
limited_resources,threshold,avg_latency,11.99756401421085
limited_resources,threshold,avg_jitter,0.3046117388445626
limited_resources,threshold,avg_cpu,0.6961934499813032
limited_resources,threshold,avg_ram,0.708049166123284
limited_resources,threshold,max_latency,15.567084544345187
limited_resources,threshold,max_jitter,0.7561994661882712
limited_resources,qlearning,avg_migrations,0.041
limited_resources,qlearning,total_migrations,41
limited_resources,qlearning,avg_latency,11.867777383573921
limited_resources,qlearning,avg_jitter,0.3003707128377251
limited_resources,qlearning,avg_cpu,0.6961934499813032
limited_resources,qlearning,avg_ram,0.708049166123284
limited_resources,qlearning,max_latency,15.427478700376474
limited_resources,qlearning,max_jitter,0.8402588701243365
limited_resources,hybrid,avg_migrations,0.04
limited_resources,hybrid,total_migrations,40
limited_resources,hybrid,avg_latency,11.892763819175094
limited_resources,hybrid,avg_jitter,0.3017612539105836
limited_resources,hybrid,avg_cpu,0.6961934499813032
limited_resources,hybrid,avg_ram,0.708049166123284
limited_resources,hybrid,max_latency,15.427478700376474
limited_resources,hybrid,max_jitter,0.6604306181987204
limited_resources,threshold,avg_migrations,0.017
limited_resources,threshold,total_migrations,17
limited_resources,threshold,avg_latency,11.758862134498534
limited_resources,threshold,avg_jitter,0.3040674441477968
limited_resources,threshold,avg_cpu,0.6940560276976488
limited_resources,threshold,avg_ram,0.7067333514122002
limited_resources,threshold,avg_energy,816.4336166185892
limited_resources,threshold,max_latency,15.508088532746758
limited_resources,threshold,max_jitter,0.9377741051111382
limited_resources,qlearning,avg_migrations,0.023
limited_resources,qlearning,total_migrations,23
limited_resources,qlearning,avg_latency,12.05246656159273
limited_resources,qlearning,avg_jitter,0.31281663663468884
limited_resources,qlearning,avg_cpu,0.6940560276976488
limited_resources,qlearning,avg_ram,0.7067333514122002
limited_resources,qlearning,avg_energy,816.4336166185892
limited_resources,qlearning,max_latency,15.508088532746758
limited_resources,qlearning,max_jitter,1.096803598783359
limited_resources,hybrid,avg_migrations,0.022
limited_resources,hybrid,total_migrations,22
limited_resources,hybrid,avg_latency,11.9563203679706
limited_resources,hybrid,avg_jitter,0.3077515908826451
limited_resources,hybrid,avg_cpu,0.6940560276976488
limited_resources,hybrid,avg_ram,0.7067333514122002
limited_resources,hybrid,avg_energy,816.4336166185892
limited_resources,hybrid,max_latency,15.508088532746758
limited_resources,hybrid,max_jitter,0.9988727927679373
limited_resources,hybrid,reactive_migrations,1
limited_resources,hybrid,proactive_migrations,21
limited_resources,threshold,avg_migrations,0.019
limited_resources,threshold,total_migrations,19
limited_resources,threshold,avg_latency,11.933858439730818
limited_resources,threshold,avg_jitter,0.3019183754766023
limited_resources,threshold,avg_cpu,0.6920934041545034
limited_resources,threshold,avg_ram,0.7051136806920208
limited_resources,threshold,avg_energy,815.256042492702
limited_resources,threshold,max_latency,15.477745144977145
limited_resources,threshold,max_jitter,0.7108355707739847
limited_resources,qlearning,avg_migrations,0.032
limited_resources,qlearning,total_migrations,32
limited_resources,qlearning,avg_latency,11.90906908388708
limited_resources,qlearning,avg_jitter,0.2985023549070503
limited_resources,qlearning,avg_cpu,0.6920934041545034
limited_resources,qlearning,avg_ram,0.7051136806920208
limited_resources,qlearning,avg_energy,815.256042492702
limited_resources,qlearning,max_latency,15.4196168368394
limited_resources,qlearning,max_jitter,0.7302983105665684
limited_resources,hybrid,avg_migrations,0.037
limited_resources,hybrid,total_migrations,37
limited_resources,hybrid,avg_latency,11.819508291411106
limited_resources,hybrid,avg_jitter,0.29777145191618093
limited_resources,hybrid,avg_cpu,0.6920934041545034
limited_resources,hybrid,avg_ram,0.7051136806920208
limited_resources,hybrid,avg_energy,815.256042492702
limited_resources,hybrid,max_latency,15.4196168368394
limited_resources,hybrid,max_jitter,0.5570902877644552
limited_resources,hybrid,reactive_migrations,0
limited_resources,hybrid,proactive_migrations,37
limited_resources,threshold,avg_migrations,0.016
limited_resources,threshold,total_migrations,16
limited_resources,threshold,avg_latency,12.15417125911585
limited_resources,threshold,avg_jitter,0.30847922483256557
limited_resources,threshold,avg_cpu,0.6934095897692409
limited_resources,threshold,avg_ram,0.7061748280707291
limited_resources,threshold,avg_energy,816.0457538615444
limited_resources,threshold,max_latency,15.48379703650059
limited_resources,threshold,max_jitter,0.7753549276783696
limited_resources,qlearning,avg_migrations,0.029
limited_resources,qlearning,total_migrations,29
limited_resources,qlearning,avg_latency,11.658677146918642
limited_resources,qlearning,avg_jitter,0.2936421235192097
limited_resources,qlearning,avg_cpu,0.6934095897692409
limited_resources,qlearning,avg_ram,0.7061748280707291
limited_resources,qlearning,avg_energy,816.0457538615444
limited_resources,qlearning,max_latency,15.414279775712709
limited_resources,qlearning,max_jitter,0.7484980157045584
limited_resources,hybrid,avg_migrations,0.025
limited_resources,hybrid,total_migrations,25
limited_resources,hybrid,avg_latency,12.004786761929468
limited_resources,hybrid,avg_jitter,0.3024020510223871
limited_resources,hybrid,avg_cpu,0.6934095897692409
limited_resources,hybrid,avg_ram,0.7061748280707291
limited_resources,hybrid,avg_energy,816.0457538615444
limited_resources,hybrid,max_latency,15.414279775712709
limited_resources,hybrid,max_jitter,0.7287339186625602
limited_resources,hybrid,reactive_migrations,0
limited_resources,hybrid,proactive_migrations,25
limited_resources,threshold,avg_migrations,0.018
limited_resources,threshold,total_migrations,18
limited_resources,threshold,avg_latency,11.845028392222092
limited_resources,threshold,avg_jitter,0.3058059341947052
limited_resources,threshold,avg_cpu,0.6924678283386986
limited_resources,threshold,avg_ram,0.7054356248017165
limited_resources,threshold,avg_energy,815.4806970032191
limited_resources,threshold,max_latency,15.646368747387237
limited_resources,threshold,max_jitter,0.8512350637627172
limited_resources,qlearning,avg_migrations,0.043
limited_resources,qlearning,total_migrations,43
limited_resources,qlearning,avg_latency,12.36915810056628
limited_resources,qlearning,avg_jitter,0.3255337279884344
limited_resources,qlearning,avg_cpu,0.6924678283386986
limited_resources,qlearning,avg_ram,0.7054356248017165
limited_resources,qlearning,avg_energy,815.4806970032191
limited_resources,qlearning,max_latency,15.646368747387237
limited_resources,qlearning,max_jitter,1.0611951586280772
limited_resources,hybrid,avg_migrations,0.022
limited_resources,hybrid,total_migrations,22
limited_resources,hybrid,avg_latency,11.90185890027118
limited_resources,hybrid,avg_jitter,0.3089622885090341
limited_resources,hybrid,avg_cpu,0.6924678283386986
limited_resources,hybrid,avg_ram,0.7054356248017165
limited_resources,hybrid,avg_energy,815.4806970032191
limited_resources,hybrid,max_latency,15.646368747387237
limited_resources,hybrid,max_jitter,0.9943408906844868
limited_resources,hybrid,reactive_migrations,0
limited_resources,hybrid,proactive_migrations,22
limited_resources,threshold,avg_migrations,0.017
limited_resources,threshold,total_migrations,17
limited_resources,threshold,avg_latency,12.03294842243756
limited_resources,threshold,avg_jitter,0.3078340629713508
limited_resources,threshold,avg_cpu,0.6932782291308998
limited_resources,threshold,avg_ram,0.7060406777572337
limited_resources,threshold,avg_energy,815.9669374785398
limited_resources,threshold,max_latency,15.683426840445
limited_resources,threshold,max_jitter,0.6951577420523387
limited_resources,qlearning,avg_migrations,0.026
limited_resources,qlearning,total_migrations,26
limited_resources,qlearning,avg_latency,12.187174163637291
limited_resources,qlearning,avg_jitter,0.311890019954109
limited_resources,qlearning,avg_cpu,0.6932782291308998
limited_resources,qlearning,avg_ram,0.7060406777572337
limited_resources,qlearning,avg_energy,815.9669374785398
limited_resources,qlearning,max_latency,15.683426840445
limited_resources,qlearning,max_jitter,0.8505688960867139
limited_resources,hybrid,avg_migrations,0.026
limited_resources,hybrid,total_migrations,26
limited_resources,hybrid,avg_latency,12.294353926678765
limited_resources,hybrid,avg_jitter,0.31622474207542894
limited_resources,hybrid,avg_cpu,0.6932782291308998
limited_resources,hybrid,avg_ram,0.7060406777572337
limited_resources,hybrid,avg_energy,815.9669374785398
limited_resources,hybrid,max_latency,15.683426840445
limited_resources,hybrid,max_jitter,0.9878626791929335
limited_resources,hybrid,reactive_migrations,0
limited_resources,hybrid,proactive_migrations,26
